,time,_V0_,| V0 |,season,week_day
0,0,300.0,9.0,1,3
3,1,300.0,9.1,1,3
6,2,320.0,4.8,1,3
9,3,320.0,9.1,1,3
12,4,330.0,7.9,1,3
15,5,330.0,7.4,1,3
18,6,340.0,7.9,1,3
21,7,350.0,8.9,1,3
24,8,350.0,8.1,1,3
27,9,20.0,6.3,1,3
30,10,340.0,8.1,1,3
33,11,350.0,7.7,1,3
36,12,350.0,5.5,1,3
39,13,340.0,4.8,1,3
42,14,320.0,6.7,1,3
45,15,320.0,7.8,1,3
48,16,310.0,7.4,1,3
51,17,290.0,8.7,1,3
54,18,310.0,7.6,1,3
57,19,300.0,8.4,1,3
60,20,300.0,8.4,1,3
63,21,300.0,7.2,1,3
66,22,290.0,6.9,1,3
69,23,280.0,5.3,1,3
72,0,280.0,6.5,2,6
75,1,270.0,7.9,2,6
78,2,270.0,8.4,2,6
81,3,240.0,7.9,2,6
84,4,250.0,8.9,2,6
87,5,240.0,9.4,2,6
90,6,270.0,10.0,2,6
93,7,270.0,10.2,2,6
96,8,270.0,8.3,2,6
99,9,270.0,10.9,2,6
102,10,270.0,11.9,2,6
105,11,270.0,11.2,2,6
108,12,280.0,8.0,2,6
111,13,280.0,8.5,2,6
114,14,280.0,8.4,2,6
117,15,290.0,9.1,2,6
120,16,290.0,9.0,2,6
123,17,300.0,9.6,2,6
126,18,300.0,7.8,2,6
129,19,290.0,7.6,2,6
132,20,290.0,7.9,2,6
135,21,300.0,8.4,2,6
138,22,300.0,8.8,2,6
141,23,290.0,7.1,2,6
144,0,300.0,6.3,3,7
147,1,290.0,7.5,3,7
150,2,280.0,5.7,3,7
153,3,280.0,7.1,3,7
156,4,280.0,7.3,3,7
159,5,270.0,7.8,3,7
162,6,260.0,6.0,3,7
165,7,270.0,8.1,3,7
168,8,240.0,5.4,3,7
171,9,260.0,8.4,3,7
174,10,240.0,7.8,3,7
177,11,240.0,7.5,3,7
180,12,240.0,7.8,3,7
183,13,260.0,8.3,3,7
186,14,240.0,9.4,3,7
189,15,240.0,9.9,3,7
192,16,240.0,9.0,3,7
195,17,230.0,6.1,3,7
198,18,230.0,8.6,3,7
201,19,230.0,10.4,3,7
204,20,240.0,10.3,3,7
207,21,230.0,9.5,3,7
210,22,230.0,10.1,3,7
213,23,230.0,10.2,3,7
216,0,230.0,8.5,4,3
219,1,230.0,10.3,4,3
222,2,230.0,8.9,4,3
225,3,230.0,10.6,4,3
228,4,230.0,10.5,4,3
231,5,230.0,9.7,4,3
234,6,230.0,9.0,4,3
237,7,230.0,10.3,4,3
240,8,270.0,6.5,4,3
243,9,220.0,6.7,4,3
246,10,240.0,7.3,4,3
249,11,220.0,7.3,4,3
252,12,220.0,7.3,4,3
255,13,220.0,4.8,4,3
258,14,200.0,6.0,4,3
261,15,220.0,6.7,4,3
264,16,230.0,6.5,4,3
267,17,230.0,9.6,4,3
270,18,240.0,7.7,4,3
273,19,260.0,8.3,4,3
276,20,260.0,7.0,4,3
279,21,250.0,8.8,4,3
282,22,240.0,10.1,4,3
285,23,240.0,5.4,4,3
288,0,230.0,9.3,5,5
291,1,240.0,9.0,5,5
294,2,260.0,9.6,5,5
297,3,270.0,7.5,5,5
300,4,270.0,6.6,5,5
303,5,280.0,6.6,5,5
306,6,280.0,8.6,5,5
309,7,270.0,8.4,5,5
312,8,250.0,7.9,5,5
315,9,270.0,8.0,5,5
318,10,280.0,4.6,5,5
321,11,270.0,5.3,5,5
324,12,290.0,6.5,5,5
327,13,290.0,8.4,5,5
330,14,290.0,5.6,5,5
333,15,290.0,7.1,5,5
336,16,310.0,5.4,5,5
339,17,300.0,6.9,5,5
342,18,320.0,8.7,5,5
345,19,320.0,7.1,5,5
348,20,300.0,6.4,5,5
351,21,300.0,7.6,5,5
354,22,300.0,6.3,5,5
357,23,300.0,6.6,5,5
360,0,310.0,6.8,6,1
363,1,300.0,4.9,6,1
366,2,310.0,4.4,6,1
369,3,320.0,3.7,6,1
372,4,320.0,4.1,6,1
375,5,330.0,2.7,6,1
378,6,340.0,2.7,6,1
381,7,350.0,1.9,6,1
384,8,350.0,2.2,6,1
387,9,350.0,1.6,6,1
390,10,340.0,0.7,6,1
393,11,300.0,0.0,6,1
396,12,240.0,0.0,6,1
399,13,260.0,0.9,6,1
402,14,250.0,0.7,6,1
405,15,240.0,1.8,6,1
408,16,260.0,0.9,6,1
411,17,250.0,2.6,6,1
414,18,250.0,3.7,6,1
417,19,250.0,3.4,6,1
420,20,230.0,3.2,6,1
423,21,240.0,3.5,6,1
426,22,220.0,3.2,6,1
429,23,230.0,3.5,6,1
432,0,230.0,4.0,7,3
435,1,230.0,5.2,7,3
438,2,230.0,3.8,7,3
441,3,230.0,3.6,7,3
444,4,230.0,4.0,7,3
447,5,220.0,3.8,7,3
450,6,230.0,3.3,7,3
453,7,230.0,3.2,7,3
456,8,240.0,2.7,7,3
459,9,230.0,2.8,7,3
462,10,240.0,2.2,7,3
465,11,240.0,2.4,7,3
468,12,240.0,2.2,7,3
471,13,250.0,2.4,7,3
474,14,250.0,2.7,7,3
477,15,240.0,1.9,7,3
480,16,250.0,0.9,7,3
483,17,250.0,1.4,7,3
486,18,250.0,3.6,7,3
489,19,250.0,1.4,7,3
492,20,250.0,2.8,7,3
495,21,260.0,2.9,7,3
498,22,260.0,2.0,7,3
501,23,260.0,1.7,7,3
504,0,250.0,3.4,8,6
507,1,250.0,3.3,8,6
510,2,250.0,3.0,8,6
513,3,250.0,3.0,8,6
516,4,250.0,3.8,8,6
519,5,250.0,3.4,8,6
522,6,250.0,2.6,8,6
525,7,250.0,2.8,8,6
528,8,250.0,3.2,8,6
531,9,250.0,3.7,8,6
534,10,250.0,3.4,8,6
537,11,240.0,3.8,8,6
540,12,250.0,3.6,8,6
543,13,240.0,3.3,8,6
546,14,240.0,4.0,8,6
549,15,240.0,4.1,8,6
552,16,250.0,2.1,8,6
555,17,240.0,1.9,8,6
558,18,240.0,5.1,8,6
561,19,240.0,4.1,8,6
564,20,230.0,4.7,8,6
567,21,230.0,4.5,8,6
570,22,230.0,5.1,8,6
573,23,220.0,8.3,8,6
576,0,230.0,8.2,9,2
579,1,230.0,5.2,9,2
582,2,220.0,5.5,9,2
585,3,230.0,6.1,9,2
588,4,230.0,5.0,9,2
591,5,220.0,6.0,9,2
594,6,230.0,6.5,9,2
597,7,230.0,6.0,9,2
600,8,240.0,5.3,9,2
603,9,240.0,4.9,9,2
606,10,260.0,7.4,9,2
609,11,250.0,4.5,9,2
612,12,260.0,3.2,9,2
615,13,270.0,7.7,9,2
618,14,290.0,4.6,9,2
621,15,290.0,5.8,9,2
624,16,290.0,4.8,9,2
627,17,280.0,7.8,9,2
630,18,280.0,8.4,9,2
633,19,290.0,3.7,9,2
636,20,290.0,4.9,9,2
639,21,300.0,4.8,9,2
642,22,300.0,4.1,9,2
645,23,300.0,3.8,9,2
648,0,290.0,3.4,10,4
651,1,290.0,4.4,10,4
654,2,270.0,2.7,10,4
657,3,270.0,4.5,10,4
660,4,260.0,3.5,10,4
663,5,270.0,5.6,10,4
666,6,260.0,3.4,10,4
669,7,250.0,3.4,10,4
672,8,250.0,3.8,10,4
675,9,260.0,2.2,10,4
678,10,260.0,5.7,10,4
681,11,260.0,1.7,10,4
684,12,260.0,1.7,10,4
687,13,260.0,3.3,10,4
690,14,260.0,2.6,10,4
693,15,260.0,1.8,10,4
696,16,260.0,2.0,10,4
699,17,260.0,1.0,10,4
702,18,250.0,2.3,10,4
705,19,260.0,2.8,10,4
708,20,260.0,2.4,10,4
711,21,270.0,2.9,10,4
714,22,270.0,1.6,10,4
717,23,290.0,3.6,10,4
720,0,300.0,1.9,11,7
723,1,300.0,1.2,11,7
726,2,300.0,0.0,11,7
729,3,100.0,0.0,11,7
732,4,160.0,1.2,11,7
735,5,160.0,1.0,11,7
738,6,170.0,1.2,11,7
741,7,170.0,0.4,11,7
744,8,120.0,0.3,11,7
747,9,90.0,3.6,11,7
750,10,100.0,5.1,11,7
753,11,110.0,3.6,11,7
756,12,90.0,5.0,11,7
759,13,80.0,1.7,11,7
762,14,40.0,2.7,11,7
765,15,40.0,3.3,11,7
768,16,20.0,1.9,11,7
771,17,350.0,3.5,11,7
774,18,340.0,3.6,11,7
777,19,340.0,7.1,11,7
780,20,340.0,4.9,11,7
783,21,340.0,5.4,11,7
786,22,350.0,6.3,11,7
789,23,350.0,4.7,11,7
792,0,330.0,4.6,12,2
795,1,340.0,2.6,12,2
798,2,320.0,2.8,12,2
801,3,320.0,4.9,12,2
804,4,320.0,5.9,12,2
807,5,300.0,5.0,12,2
810,6,300.0,5.0,12,2
813,7,300.0,5.9,12,2
816,8,290.0,8.6,12,2
819,9,280.0,9.8,12,2
822,10,280.0,12.8,12,2
825,11,250.0,14.5,12,2
828,12,240.0,15.9,12,2
831,13,240.0,12.7,12,2
834,14,230.0,14.2,12,2
837,15,230.0,13.3,12,2
840,16,240.0,11.9,12,2
843,17,270.0,8.8,12,2
846,18,270.0,12.0,12,2
849,19,270.0,10.9,12,2
852,20,270.0,10.1,12,2
855,21,270.0,11.3,12,2
858,22,250.0,8.6,12,2
861,23,270.0,8.8,12,2
864,0,250.0,12.2,1,1
867,1,270.0,11.5,1,1
870,2,270.0,12.6,1,1
873,3,270.0,12.3,1,1
876,4,280.0,11.5,1,1
879,5,280.0,11.8,1,1
882,6,280.0,8.9,1,1
885,7,280.0,8.1,1,1
888,8,290.0,9.2,1,1
891,9,280.0,9.6,1,1
894,10,290.0,10.4,1,1
897,11,300.0,11.9,1,1
900,12,290.0,9.5,1,1
903,13,290.0,6.2,1,1
906,14,300.0,10.3,1,1
909,15,300.0,11.5,1,1
912,16,300.0,11.0,1,1
915,17,300.0,8.7,1,1
918,18,310.0,10.4,1,1
921,19,310.0,7.9,1,1
924,20,310.0,7.1,1,1
927,21,300.0,9.0,1,1
930,22,300.0,9.8,1,1
933,23,290.0,7.6,1,1
936,0,280.0,7.1,1,2
939,1,270.0,7.0,1,2
942,2,280.0,9.9,1,2
945,3,290.0,7.5,1,2
948,4,290.0,7.4,1,2
951,5,290.0,5.9,1,2
954,6,280.0,4.4,1,2
957,7,280.0,4.8,1,2
960,8,270.0,6.6,1,2
963,9,280.0,6.1,1,2
966,10,280.0,4.1,1,2
969,11,280.0,5.3,1,2
972,12,280.0,4.4,1,2
975,13,280.0,4.7,1,2
978,14,300.0,4.1,1,2
981,15,290.0,5.5,1,2
984,16,290.0,5.3,1,2
987,17,290.0,7.1,1,2
990,18,290.0,6.3,1,2
993,19,240.0,5.8,1,2
996,20,280.0,6.4,1,2
999,21,270.0,8.9,1,2
1002,22,280.0,8.0,1,2
1005,23,280.0,5.9,1,2
1008,0,280.0,9.0,1,3
1011,1,280.0,6.6,1,3
1014,2,270.0,8.8,1,3
1017,3,270.0,7.7,1,3
1020,4,240.0,8.7,1,3
1023,5,240.0,8.1,1,3
1026,6,220.0,8.7,1,3
1029,7,230.0,10.8,1,3
1032,8,230.0,9.5,1,3
1035,9,230.0,12.0,1,3
1038,10,220.0,10.6,1,3
1041,11,220.0,7.5,1,3
1044,12,220.0,8.3,1,3
1047,13,220.0,11.5,1,3
1050,14,230.0,11.0,1,3
1053,15,230.0,12.2,1,3
1056,16,230.0,11.8,1,3
1059,17,220.0,9.0,1,3
1062,18,230.0,11.9,1,3
1065,19,230.0,13.1,1,3
1068,20,230.0,12.6,1,3
1071,21,230.0,12.3,1,3
1074,22,230.0,13.0,1,3
1077,23,240.0,13.4,1,3
1080,0,240.0,11.6,1,4
1083,1,240.0,12.2,1,4
1086,2,260.0,13.4,1,4
1089,3,260.0,14.4,1,4
1092,4,240.0,11.4,1,4
1095,5,240.0,11.2,1,4
1098,6,260.0,11.0,1,4
1101,7,250.0,11.2,1,4
1104,8,240.0,8.2,1,4
1107,9,230.0,10.2,1,4
1110,10,230.0,8.9,1,4
1113,11,230.0,6.8,1,4
1116,12,230.0,12.3,1,4
1119,13,240.0,12.7,1,4
1122,14,270.0,12.6,1,4
1125,15,240.0,13.0,1,4
1128,16,250.0,11.9,1,4
1131,17,270.0,9.0,1,4
1134,18,270.0,10.4,1,4
1137,19,270.0,10.6,1,4
1140,20,280.0,8.5,1,4
1143,21,280.0,9.2,1,4
1146,22,280.0,8.8,1,4
1149,23,290.0,8.1,1,4
1152,0,290.0,8.7,1,5
1155,1,290.0,11.2,1,5
1158,2,290.0,9.8,1,5
1161,3,290.0,8.5,1,5
1164,4,290.0,10.5,1,5
1167,5,290.0,10.5,1,5
1170,6,300.0,8.1,1,5
1173,7,300.0,9.1,1,5
1176,8,300.0,9.6,1,5
1179,9,300.0,10.4,1,5
1182,10,290.0,8.4,1,5
1185,11,300.0,9.4,1,5
1188,12,290.0,7.8,1,5
1191,13,290.0,5.1,1,5
1194,14,300.0,7.5,1,5
1197,15,290.0,5.4,1,5
1200,16,290.0,6.9,1,5
1203,17,280.0,5.6,1,5
1206,18,280.0,5.5,1,5
1209,19,280.0,5.8,1,5
1212,20,290.0,6.7,1,5
1215,21,280.0,6.8,1,5
1218,22,290.0,7.1,1,5
1221,23,290.0,8.9,1,5
1224,0,290.0,6.5,1,6
1227,1,290.0,6.6,1,6
1230,2,290.0,5.6,1,6
1233,3,290.0,5.6,1,6
1236,4,290.0,7.3,1,6
1239,5,280.0,4.9,1,6
1242,6,270.0,7.0,1,6
1245,7,270.0,5.3,1,6
1248,8,270.0,7.1,1,6
1251,9,270.0,6.1,1,6
1254,10,240.0,6.0,1,6
1257,11,240.0,5.2,1,6
1260,12,240.0,3.2,1,6
1263,13,230.0,3.4,1,6
1266,14,230.0,2.6,1,6
1269,15,240.0,1.9,1,6
1272,16,210.0,3.5,1,6
1275,17,220.0,2.6,1,6
1278,18,210.0,6.5,1,6
1281,19,220.0,3.0,1,6
1284,20,220.0,4.1,1,6
1287,21,230.0,4.6,1,6
1290,22,230.0,5.0,1,6
1293,23,230.0,5.1,1,6
1296,0,250.0,3.6,1,7
1299,1,250.0,4.3,1,7
1302,2,270.0,5.6,1,7
1305,3,290.0,3.4,1,7
1308,4,260.0,2.0,1,7
1311,5,260.0,3.1,1,7
1314,6,260.0,2.2,1,7
1317,7,260.0,2.9,1,7
1320,8,260.0,3.3,1,7
1323,9,260.0,3.0,1,7
1326,10,260.0,2.9,1,7
1329,11,260.0,3.1,1,7
1332,12,260.0,2.4,1,7
1335,13,250.0,2.4,1,7
1338,14,250.0,2.9,1,7
1341,15,250.0,2.5,1,7
1344,16,250.0,2.7,1,7
1347,17,250.0,2.7,1,7
1350,18,250.0,3.6,1,7
1353,19,260.0,1.8,1,7
1356,20,260.0,3.7,1,7
1359,21,290.0,3.8,1,7
1362,22,280.0,7.1,1,7
1365,23,290.0,4.1,1,7
1368,0,270.0,2.3,1,1
1371,1,260.0,4.6,1,1
1374,2,260.0,6.6,1,1
1377,3,270.0,3.6,1,1
1380,4,270.0,2.6,1,1
1383,5,270.0,4.1,1,1
1386,6,290.0,6.2,1,1
1389,7,290.0,4.8,1,1
1392,8,280.0,5.0,1,1
1395,9,290.0,4.6,1,1
1398,10,280.0,8.4,1,1
1401,11,290.0,5.2,1,1
1404,12,290.0,4.5,1,1
1407,13,290.0,5.6,1,1
1410,14,280.0,7.0,1,1
1413,15,290.0,4.6,1,1
1416,16,290.0,5.2,1,1
1419,17,300.0,8.0,1,1
1422,18,290.0,4.9,1,1
1425,19,290.0,5.3,1,1
1428,20,280.0,8.1,1,1
1431,21,290.0,5.5,1,1
1434,22,290.0,5.0,1,1
1437,23,290.0,4.3,1,1
1440,0,270.0,4.3,1,2
1443,1,300.0,3.8,1,2
1446,2,270.0,7.8,1,2
1449,3,260.0,3.6,1,2
1452,4,260.0,2.0,1,2
1455,5,260.0,2.5,1,2
1458,6,260.0,2.9,1,2
1461,7,260.0,6.1,1,2
1464,8,250.0,5.8,1,2
1467,9,250.0,6.1,1,2
1470,10,270.0,6.1,1,2
1473,11,270.0,5.4,1,2
1476,12,270.0,5.9,1,2
1479,13,280.0,9.8,1,2
1482,14,280.0,8.3,1,2
1485,15,270.0,4.8,1,2
1488,16,270.0,4.6,1,2
1491,17,270.0,3.6,1,2
1494,18,300.0,4.8,1,2
1497,19,270.0,4.2,1,2
1500,20,280.0,6.0,1,2
1503,21,290.0,7.9,1,2
1506,22,300.0,8.4,1,2
1509,23,310.0,8.4,1,2
1512,0,300.0,5.2,1,3
1515,1,300.0,14.3,1,3
1518,2,310.0,13.2,1,3
1521,3,300.0,11.2,1,3
1524,4,310.0,14.8,1,3
1527,5,300.0,14.3,1,3
1530,6,280.0,11.2,1,3
1533,7,300.0,12.4,1,3
1536,8,300.0,7.9,1,3
1539,9,290.0,6.9,1,3
1542,10,290.0,7.5,1,3
1545,11,290.0,10.4,1,3
1548,12,280.0,9.2,1,3
1551,13,280.0,6.9,1,3
1554,14,280.0,7.8,1,3
1557,15,300.0,9.2,1,3
1560,16,300.0,7.0,1,3
1563,17,300.0,9.3,1,3
1566,18,310.0,9.5,1,3
1569,19,340.0,7.6,1,3
1572,20,330.0,8.2,1,3
1575,21,330.0,10.3,1,3
1578,22,330.0,7.0,1,3
1581,23,320.0,10.5,1,3
1584,0,320.0,8.6,1,4
1587,1,320.0,9.6,1,4
1590,2,310.0,9.0,1,4
1593,3,320.0,7.4,1,4
1596,4,320.0,7.2,1,4
1599,5,330.0,8.5,1,4
1602,6,350.0,7.9,1,4
1605,7,350.0,8.4,1,4
1608,8,330.0,13.9,1,4
1611,9,320.0,10.9,1,4
1614,10,330.0,9.1,1,4
1617,11,330.0,7.6,1,4
1620,12,310.0,6.6,1,4
1623,13,330.0,7.0,1,4
1626,14,330.0,6.8,1,4
1629,15,330.0,8.6,1,4
1632,16,330.0,7.7,1,4
1635,17,330.0,10.4,1,4
1638,18,320.0,11.4,1,4
1641,19,320.0,11.1,1,4
1644,20,320.0,6.1,1,4
1647,21,320.0,8.7,1,4
1650,22,310.0,7.8,1,4
1653,23,320.0,10.7,1,4
1656,0,310.0,9.3,1,5
1659,1,300.0,8.9,1,5
1662,2,300.0,7.3,1,5
1665,3,280.0,5.6,1,5
1668,4,290.0,4.6,1,5
1671,5,280.0,8.7,1,5
1674,6,270.0,7.8,1,5
1677,7,240.0,7.6,1,5
1680,8,240.0,8.2,1,5
1683,9,230.0,9.1,1,5
1686,10,240.0,10.2,1,5
1689,11,240.0,9.5,1,5
1692,12,260.0,11.1,1,5
1695,13,270.0,9.2,1,5
1698,14,270.0,10.4,1,5
1701,15,270.0,10.7,1,5
1704,16,280.0,7.6,1,5
1707,17,270.0,10.5,1,5
1710,18,270.0,10.7,1,5
1713,19,280.0,10.9,1,5
1716,20,280.0,8.7,1,5
1719,21,290.0,7.1,1,5
1722,22,280.0,7.2,1,5
1725,23,290.0,10.0,1,5
1728,0,290.0,11.0,1,6
1731,1,290.0,5.9,1,6
1734,2,290.0,8.5,1,6
1737,3,290.0,13.1,1,6
1740,4,290.0,11.3,1,6
1743,5,300.0,13.5,1,6
1746,6,290.0,9.3,1,6
1749,7,310.0,11.5,1,6
1752,8,310.0,8.7,1,6
1755,9,280.0,8.8,1,6
1758,10,290.0,9.2,1,6
1761,11,280.0,6.4,1,6
1764,12,280.0,6.0,1,6
1767,13,280.0,8.3,1,6
1770,14,280.0,7.3,1,6
1773,15,280.0,6.5,1,6
1776,16,310.0,15.9,1,6
1779,17,310.0,10.7,1,6
1782,18,300.0,11.4,1,6
1785,19,310.0,12.8,1,6
1788,20,310.0,14.7,1,6
1791,21,300.0,11.8,1,6
1794,22,300.0,12.4,1,6
1797,23,310.0,13.5,1,6
1800,0,310.0,12.3,1,7
1803,1,310.0,12.5,1,7
1806,2,310.0,10.4,1,7
1809,3,320.0,13.4,1,7
1812,4,320.0,13.1,1,7
1815,5,320.0,12.5,1,7
1818,6,320.0,10.6,1,7
1821,7,320.0,13.3,1,7
1824,8,310.0,5.4,1,7
1827,9,300.0,8.5,1,7
1830,10,310.0,8.2,1,7
1833,11,310.0,10.9,1,7
1836,12,290.0,7.7,1,7
1839,13,300.0,6.2,1,7
1842,14,280.0,7.0,1,7
1845,15,260.0,6.3,1,7
1848,16,240.0,7.7,1,7
1851,17,260.0,9.9,1,7
1854,18,240.0,8.0,1,7
1857,19,230.0,8.3,1,7
1860,20,260.0,12.1,1,7
1863,21,270.0,12.1,1,7
1866,22,270.0,13.1,1,7
1869,23,280.0,11.3,1,7
1872,0,280.0,10.9,1,1
1875,1,290.0,13.2,1,1
1878,2,290.0,13.7,1,1
1881,3,290.0,12.1,1,1
1884,4,290.0,11.5,1,1
1887,5,310.0,12.3,1,1
1890,6,310.0,8.2,1,1
1893,7,340.0,6.7,1,1
1896,8,330.0,5.5,1,1
1899,9,20.0,3.9,1,1
1902,10,20.0,4.0,1,1
1905,11,350.0,4.1,1,1
1908,12,330.0,4.2,1,1
1911,13,30.0,3.5,1,1
1914,14,360.0,1.5,1,1
1917,15,40.0,3.2,1,1
1920,16,60.0,2.0,1,1
1923,17,70.0,2.8,1,1
1926,18,80.0,3.6,1,1
1929,19,90.0,4.7,1,1
1932,20,90.0,4.8,1,1
1935,21,100.0,4.1,1,1
1938,22,100.0,3.8,1,1
1941,23,140.0,5.6,1,1
1944,0,150.0,4.6,1,2
1947,1,140.0,5.3,1,2
1950,2,150.0,5.9,1,2
1953,3,150.0,5.9,1,2
1956,4,150.0,7.4,1,2
1959,5,150.0,7.8,1,2
1962,6,150.0,7.5,1,2
1965,7,150.0,5.4,1,2
1968,8,150.0,7.6,1,2
1971,9,150.0,6.3,1,2
1974,10,150.0,7.3,1,2
1977,11,160.0,6.4,1,2
1980,12,150.0,4.8,1,2
1983,13,160.0,4.3,1,2
1986,14,160.0,5.7,1,2
1989,15,150.0,3.6,1,2
1992,16,160.0,5.1,1,2
1995,17,160.0,3.6,1,2
1998,18,160.0,5.1,1,2
2001,19,160.0,4.3,1,2
2004,20,160.0,4.7,1,2
2007,21,160.0,4.3,1,2
2010,22,170.0,5.1,1,2
2013,23,180.0,4.3,1,2
2016,0,190.0,4.8,1,3
2019,1,200.0,5.5,1,3
2022,2,200.0,6.2,1,3
2025,3,200.0,5.3,1,3
2028,4,200.0,4.1,1,3
2031,5,190.0,4.1,1,3
2034,6,200.0,3.7,1,3
2037,7,190.0,4.7,1,3
2040,8,180.0,5.0,1,3
2043,9,190.0,5.4,1,3
2046,10,180.0,3.7,1,3
2049,11,180.0,5.1,1,3
2052,12,170.0,4.6,1,3
2055,13,170.0,4.6,1,3
2058,14,170.0,4.0,1,3
2061,15,170.0,5.0,1,3
2064,16,170.0,4.7,1,3
2067,17,170.0,5.2,1,3
2070,18,170.0,3.7,1,3
2073,19,160.0,4.2,1,3
2076,20,160.0,3.9,1,3
2079,21,140.0,3.5,1,3
2082,22,140.0,3.4,1,3
2085,23,110.0,5.4,1,3
2088,0,110.0,5.2,1,4
2091,1,110.0,4.2,1,4
2094,2,100.0,4.2,1,4
2097,3,100.0,4.9,1,4
2100,4,100.0,5.0,1,4
2103,5,100.0,4.9,1,4
2106,6,100.0,4.8,1,4
2109,7,90.0,6.4,1,4
2112,8,100.0,5.9,1,4
2115,9,90.0,7.3,1,4
2118,10,100.0,6.3,1,4
2121,11,90.0,7.2,1,4
2124,12,90.0,7.1,1,4
2127,13,90.0,8.0,1,4
2130,14,80.0,7.0,1,4
2133,15,80.0,9.9,1,4
2136,16,80.0,7.5,1,4
2139,17,80.0,7.0,1,4
2142,18,90.0,7.2,1,4
2145,19,100.0,4.9,1,4
2148,20,110.0,5.1,1,4
2151,21,140.0,4.6,1,4
2154,22,130.0,5.3,1,4
2157,23,150.0,5.1,1,4
2160,0,140.0,4.8,1,5
2163,1,110.0,3.5,1,5
2166,2,100.0,2.6,1,5
2169,3,90.0,2.5,1,5
2172,4,80.0,2.5,1,5
2175,5,70.0,3.5,1,5
2178,6,80.0,3.0,1,5
2181,7,70.0,1.1,1,5
2184,8,20.0,0.0,1,5
2187,9,30.0,0.9,1,5
2190,10,360.0,0.0,1,5
2193,11,330.0,0.0,1,5
2196,12,280.0,0.5,1,5
2199,13,270.0,0.8,1,5
2202,14,270.0,0.5,1,5
2205,15,260.0,1.0,1,5
2208,16,240.0,1.9,1,5
2211,17,230.0,1.8,1,5
2214,18,250.0,1.2,1,5
2217,19,250.0,2.5,1,5
2220,20,250.0,2.2,1,5
2223,21,270.0,2.1,1,5
2226,22,290.0,1.2,1,5
2229,23,250.0,0.7,1,5
2232,0,250.0,1.1,1,4
2235,1,240.0,1.2,1,4
2238,2,260.0,0.7,1,4
2241,3,210.0,2.5,1,4
2244,4,230.0,1.2,1,4
2247,5,250.0,0.9,1,4
2250,6,250.0,1.2,1,4
2253,7,240.0,0.3,1,4
2256,8,210.0,2.3,1,4
2259,9,220.0,1.8,1,4
2262,10,220.0,0.7,1,4
2265,11,200.0,0.9,1,4
2268,12,200.0,0.8,1,4
2271,13,210.0,1.0,1,4
2274,14,220.0,1.3,1,4
2277,15,160.0,1.2,1,4
2280,16,190.0,1.4,1,4
2283,17,190.0,1.9,1,4
2286,18,200.0,3.7,1,4
2289,19,210.0,1.6,1,4
2292,20,200.0,1.7,1,4
2295,21,180.0,2.2,1,4
2298,22,180.0,2.5,1,4
2301,23,190.0,3.1,1,4
2304,0,200.0,6.7,2,7
2307,1,180.0,3.1,2,7
2310,2,190.0,4.5,2,7
2313,3,190.0,4.2,2,7
2316,4,190.0,8.7,2,7
2319,5,180.0,5.4,2,7
2322,6,190.0,4.1,2,7
2325,7,190.0,5.3,2,7
2328,8,200.0,11.3,2,7
2331,9,200.0,11.6,2,7
2334,10,200.0,10.6,2,7
2337,11,200.0,4.9,2,7
2340,12,200.0,4.8,2,7
2343,13,190.0,4.9,2,7
2346,14,180.0,5.2,2,7
2349,15,180.0,10.0,2,7
2352,16,190.0,10.4,2,7
2355,17,190.0,5.3,2,7
2358,18,200.0,10.4,2,7
2361,19,220.0,5.0,2,7
2364,20,250.0,4.9,2,7
2367,21,260.0,5.5,2,7
2370,22,260.0,3.1,2,7
2373,23,270.0,2.7,2,7
2376,0,260.0,5.8,3,1
2379,1,250.0,3.1,3,1
2382,2,240.0,4.9,3,1
2385,3,240.0,5.1,3,1
2388,4,240.0,5.2,3,1
2391,5,250.0,3.1,3,1
2394,6,250.0,2.5,3,1
2397,7,250.0,4.9,3,1
2400,8,250.0,4.5,3,1
2403,9,250.0,4.5,3,1
2406,10,250.0,4.4,3,1
2409,11,270.0,2.6,3,1
2412,12,300.0,10.0,3,1
2415,13,300.0,5.6,3,1
2418,14,290.0,5.2,3,1
2421,15,280.0,3.9,3,1
2424,16,290.0,4.8,3,1
2427,17,270.0,2.9,3,1
2430,18,270.0,3.1,3,1
2433,19,290.0,5.0,3,1
2436,20,290.0,3.9,3,1
2439,21,300.0,8.6,3,1
2442,22,310.0,6.3,3,1
2445,23,320.0,12.5,3,1
2448,0,300.0,9.5,4,4
2451,1,310.0,10.4,4,4
2454,2,290.0,10.7,4,4
2457,3,290.0,8.3,4,4
2460,4,280.0,6.5,4,4
2463,5,290.0,9.0,4,4
2466,6,280.0,7.8,4,4
2469,7,280.0,7.5,4,4
2472,8,280.0,7.4,4,4
2475,9,280.0,8.2,4,4
2478,10,280.0,9.9,4,4
2481,11,280.0,7.4,4,4
2484,12,290.0,8.2,4,4
2487,13,300.0,7.7,4,4
2490,14,290.0,7.6,4,4
2493,15,280.0,7.6,4,4
2496,16,280.0,8.5,4,4
2499,17,290.0,9.7,4,4
2502,18,290.0,8.6,4,4
2505,19,290.0,9.6,4,4
2508,20,290.0,11.4,4,4
2511,21,300.0,9.3,4,4
2514,22,290.0,8.7,4,4
2517,23,300.0,9.4,4,4
2520,0,290.0,9.4,5,6
2523,1,300.0,11.4,5,6
