lon;lat;m_name;address;m_type;sq_km_id
37.9233;55.5836;Астрон;140080, Россия, Московская область, г. Лыткарино, ул. Парковая, 1;"Прочие промышленные производства    (Производители оптики)";4097
37.9233;55.5836;Лыткаринский завод оптического стекла (ЛЗОС);140080, Россия, Московская область, г. Лыткарино, ул. Парковая, 1;"Прочие промышленные производства    (Производители оптики)";4097
37.3316;55.8319;ХК Спецтехноткань;143401, Россия, Московская область, г. Красногорск, ул. Речная, 8;"Легкая промышленность    (Производители нетканых материалов)";6269
37.9233;55.5836;АИЗ;140080, Россия, Московская область, г. Лыткарино, ул. Парковая, 1;"Энергетика и коммунальное хозяйство    (Заводы электрощитового оборудования)";4097
37.9275;55.9588;Совокрим;141282, Россия, Московская область, г. Ивантеевка, ул. Толмачева, 82;"Промышленное оборудование    (Производители пищевого оборудования)";7460
37.5016;55.9302;Джениуспарк;141700, Россия, Московская область, г. Долгопрудный, ул. Лётная, 1;"Мебельные фабрики    (Лесная промышленность)";7183
37.4976;55.9197;Научно-производственное объединение «Курс»;141700, Россия, Московская область, г. Долгопрудный, Лихачевский пр-д, 26;"Насосные заводы    (Машиностроение и металлообработка)";7101
37.925;55.9709;Фабрика мягкой мебели Авангард;141281, Московская обл., г. Ивантеевка, ул. Заречная, д. 1, территория ООО «ИВНИТЬ»;"Мебельные фабрики    (Лесная промышленность)";7623
37.7238;55.9735;Фабрика мягкой мебели Алина;141033, Россия, Московская область, Мытищинский район, д. Пирогово, ул. Совхозная, 2а;"Мебельные фабрики    (Лесная промышленность)";7609
37.8635;55.9381;Фабрика мягкой мебели Аллегро-Классика;141090, Россия, Московская область, г. Королев, пос. Болшево, ул. Московская, 1;"Мебельные фабрики    (Лесная промышленность)";7291
37.1841;56.0117;Кондитерская фабрика Богатырь;124460, Москва,Зеленоград,ул. Конструктора Гуськова, д. 8, стр. 10;"Пищевая и с/х промышленность    (Кондитерские фабрики)";7899
37.3291;55.809;Дедовская обувная фабрика (ДЕФО);143530, Московская область, г. Красногорск, ул. Строительная, д. 6,стр. 3;"Обувные фабрики    (Легкая промышленность)";6105
37.9278;55.9837;Ивантеевский асфальтобетонный завод АБЗ ЛИНТ (АБЗ ЛИНТ);141282, Россия, Московская область, г. Ивантеевка, Санаторный проезд, 4;"Асфальтовые заводы    (Строительные и отделочные материалы)";7706
37.9149;55.9743;ОКБ «Гамма»;141280, Россия, Московская область, г. Ивантеевка, проезд Фабричный, 1;"Кабельные заводы    (Машиностроение и металлообработка)";7623
37.8359;55.6244;Федеральный центр двойных технологий «Союз»;140090, Россия, Московская область, г. Дзержинский, ул. Академика Жукова, 42;"Химические заводы    (Химическая и нефтехимическая промышленность)";4419
37.5082;55.3458;Предприятие народных художественных промыслов Климо;Россия, 142180 Московская область, г. Подольск, микрорайон Климовск, Фабричный проезд, д. 2.;"Легкая промышленность    (Предприятия художественных промыслов)";1854
37.744;55.8172;Обувная фабрика Ralf Ringer (Ральф Рингер);107023, Россия, г. Москва, Открытое шоссе, 18 с1;"Обувные фабрики    (Легкая промышленность)";6217
37.0606;55.5387;Спортивно-экипировочное предприятие Луч (СЭП ЛУЧ);143362, Россия, Московская область, г. Апрелевка, ул. Школьная, 1;"Швейные фабрики    (Легкая промышленность)";3626
37.6239;55.6796;Фабрика торговой мебели Vica (Вика);115230, Россия, г. Москва, Варшавское шоссе, 36 (3-й этаж);"Промышленное оборудование    (Производители торгового оборудования)";4896
37.7466;55.82;Преображенский молочный комбинат (ПМК);107370, Россия, г. Москва, Открытое шоссе, 15, стр. 8;"Молочные заводы    (Пищевая и с/х промышленность)";6217
37.9523;55.8281;АкзоНобель;143900, Россия, Московская область, г. Балашиха, проезд Покровский, 9;"Лакокрасочные заводы    (Химическая и нефтехимическая промышленность)";6313
37.2131;55.9841;Научно-исследовательский институт технологии и автоматизации производства (НИИТАП);124460, Россия, г. Москва, Зеленоград, пр-кт Георгиевский, 5;"Машиностроение и металлообработка    (Производители микроэлектроники)";7655
37.6983;55.7303;Пьезус (PIEZUS);109029, г. Москва, пр-д Автомобильный, д. 4;"Приборостроительные заводы    (Машиностроение и металлообработка)";5393
37.716;55.6567;Атлант-кран;Москва, ул. Перерва, дом 1, строение 1;"Крановые заводы    (Машиностроение и металлообработка)";4739
37.2158;55.9846;Научно-исследовательский институт материаловедения им. А.Ю. Малинина (НИИ МВ);124498, Россия, г. Москва, Зеленоград, пр-кт Георгиевский, 5, стр. 2;"Машиностроение и металлообработка    (Производители микроэлектроники)";7655
37.6819;55.7384;Меховая фабрика MaryBelle;127055, Россия, Москва,ул. Нижегородская, дом 9г;"Меховые фабрики    (Легкая промышленность)";5474
37.3893;55.7241;Рублевский мясоперерабатывающий завод (Рублевский);121596, Россия, г. Москва, ул. Горбунова, 4, стр. 4;"Мясоперерабатывающие заводы    (Пищевая и с/х промышленность)";5289
37.7596;55.563;КабельЭлектроСвязь;142700, Россия, Московская область, Ленинский район, г. Видное, территория Северная Промзона;"Кабельные заводы    (Машиностроение и металлообработка)";3840
37.5678;55.6792;Московский завод навесного оборудования (МЗНО);117218, Россия, г. Москва, ул. Кржижановского, 14 корп.2;"Промышленное оборудование    (Производители навесного оборудования)";4892
37.4565;55.6795;Миалт;119361 г. Москва, ул. Озёрная, д 42, эт.3, ком.16, вн.3095;"Швейные фабрики    (Легкая промышленность)";4884
37.6921;55.7885;Сокольнический вагоноремонтно-строительный завод (СВАРЗ);107014, Россия, г. Москва, ул. Матросская тишина, 15/17;"Транспорт и спецтехника    (Вагоноремонтные заводы)";5885
37.2172;55.991;Авентин;г. Зеленоград, Савелкинский проезд, дом 4;"Пищевая и с/х промышленность    (Мясоперерабатывающие заводы)";7737
37.6965;55.7484;Многопрофильный завод европолимеров (МЗЕП);111024, Россия, г. Москва, ш. Энтузиастов, 5, стр. 3;"Заводы РТИ    (Химическая и нефтехимическая промышленность)";5557
37.1974;56.0089;Специализированное конструкторское бюро радиоэлектронной аппаратуры «Радэл»;124460, Россия, г. Москва, пр-кт Генерала Алексеева, 2;"Машиностроение и металлообработка    (Заводы радиоаппаратуры и радиодеталей)";7900
37.6747;55.7679;Московска обувная фабрика (Заря свободы);105005, Россия, г. Москва, Аптекарский переулок, 4;"Обувные фабрики    (Легкая промышленность)";5720
37.7048;55.6617;Трест «ЖБИ»;109383, г. Москва, Батюнинский проезд, д. 11, стр. 1;"Заводы ЖБИ    (Строительные и отделочные материалы)";4738
37.647;55.7279;Московская экспериментальная трикотажная фабрика (МЭТФ);115114, Россия, г. Москва, ул. Кожевническая, 16;"Трикотажные фабрики    (Легкая промышленность)";5390
37.6334;55.8889;Тритон Пластик;127282, Россия, г. Москва, Чермянский проезд, 7, 3 подъезд;"Заводы пластмасс    (Химическая и нефтехимическая промышленность)";6783
37.6073;55.8028;Московский лакокрасочный завод (Оливеста);127521, Россия, г. Москва, Анненский проезд, 1;"Лакокрасочные заводы    (Химическая и нефтехимическая промышленность)";6043
37.2172;55.991;Фабрика мебели Маркел-М;г. Москва, г. Зеленоград, Савёлкинский пр-д, д. 4;"Лесная промышленность    (Мебельные фабрики)";7737
37.6527;55.8062;Московский опытный светотехнический завод ТелеМеханики (МОСЗ ТМ);129626, Москва, 1-й Рижский пер., д.6. стр.2;"Светотехнические заводы    (Машиностроение и металлообработка)";6046
37.6418;55.6248;Химэкси;Москва, Кавказский бульвар, д.51 с.26;"Химические заводы    (Химическая и нефтехимическая промышленность)";4405
37.4892;55.8699;Стальтекс;125475 г. Москва, ул. Петрозаводская д.28, корпус 4;"Заводы металлоконструкций и металлоизделий    (Машиностроение и металлообработка)";6608
37.5039;55.7407;Московский трубный завод «Филит»;121087, Россия, г. Москва, ул. Барклая, 6;"Трубные заводы    (Металлургия)";5461
37.5451;55.8849;Царицынский молочный комбинат (ЦМК);127591, Россия, г. Москва, Дмитровское шоссе, 108;"Молочные заводы    (Пищевая и с/х промышленность)";6776
37.4566;55.7288;Московский ювелирный завод Элит (МЮЗ Элит);121108, г. Москва, ул. Ивана Франко, д. 4, к. 10;"Ювелирные заводы    (Прочие промышленные производства)";5376
37.5885;55.8072;Швейная фабрика Арион;Москва, ул. Новодмитровская, д.5А стр.2 4-й этаж;"Швейные фабрики    (Легкая промышленность)";6041
37.7155;55.7806;МСЗ-Салют;105094, Россия, г. Москва, ул. Семёновская Б., 42, стр. 3;"Станкостроительные заводы    (Промышленное оборудование)";5804
37.6504;55.8412;МПШО Смена;129226, Россия, г. Москва, ул. Докукина, 16 стр. 3;"Швейные фабрики    (Легкая промышленность)";6374
37.5527;55.8603;Швейная фабрика Космос;127238, Россия, г. Москва, Дмитровское шоссе, 79;"Швейные фабрики    (Легкая промышленность)";6531
37.4172;55.7428;НПО Юмас;121552, Россия, г. Москва, ул. Ярцевская, 29, корп. 2;"Приборостроительные заводы    (Машиностроение и металлообработка)";5455
37.4496;55.8414;Швейная фабрика Milana Style;г. Москва, ул. Свободы, д.35 стр.4 офис 43;"Швейные фабрики    (Легкая промышленность)";6360
37.7852;55.7409;Обувная фабрика (Зебра);Россия, 111141, г. Москва, ул. Кусковская, д. 20 А, корпус А, офис А209;"Обувные фабрики    (Легкая промышленность)";5481
37.5657;55.4936;Щербинский завод электроплавленных огнеупоров (ЭПО);108851, Россия, г. Москва, г. Щербинка, ул. Южная, 2;"Металлургия    (Производители огнеупоров)";3252
37.4496;55.8414;Милана (Milana Style);125362, Россия, г. Москва, ул. Свободы, 35, стр. 4;"Легкая промышленность    (Швейные фабрики)";6360
37.7265;55.7656;Обувная фабрика Антилопа Про;105118, Россия, г. Москва, ул. Буракова, 6;"Обувные фабрики    (Легкая промышленность)";5723
37.2208;55.9836;Электронные технологии и метрологические системы (ЭТМС);124498, Россия, г. Москва, г. Зеленоград, проезд 4922, дом 4, стр. 5;"Машиностроение и металлообработка    (Приборостроительные заводы)";7655
37.7032;55.8031;Институт химических реактивов и особо чистых химических веществ Национального исследовательского центра «Курчатовский институт» (НИЦ Курчатовский институт - ИРЕА);107076, Россия, г. Москва, ул. Богородский Вал, 3;"Химические заводы    (Химическая и нефтехимическая промышленность)";6050
37.6274;55.583;Завод испытательного климатического оборудования (ЗИКО);117403, Россия, г. Москва, ул. Булатниковская, 20;"Промышленное оборудование    (Производители теплового оборудования)";3994
37.707;55.7908;Комбинат мучнисто-кондитерских изделий «Добрынинский»;107023, Россия, г. Москва, ул. Электрозаводская, 27, стр. 1;"Кондитерские фабрики    (Пищевая и с/х промышленность)";5968
37.2939;55.4598;Инженерно-технический центр «Комплексные исследования»;142190, Россия, г. Москва, г. Троицк, ул. Физическая, 11;"Машиностроение и металлообработка    (Арматурные заводы)";2904
37.6314;55.6442;Кондитерская фабрика Бастион;115201, Россия, г. Москва, ул. Котляковская, 3, стр. 13;"Кондитерские фабрики    (Пищевая и с/х промышленность)";4569
37.5203;55.819;Инновационно-техническое предприятие «Промбиофит»;127299, Россия, г. Москва, ул. К. Цеткин, 4;"Промышленное оборудование    (Производители фасовочно-упаковочного оборудования)";6201
37.4426;55.7101;Кондитерская фабрика Верность качеству;121357, Россия, г. Москва, ул. Верейская, 29, стр. 154;"Кондитерские фабрики    (Пищевая и с/х промышленность)";5211
37.6467;55.7283;Кондитерская фабрика Сокол;115114, Россия, г. Москва, ул. Кожевническая, 16;"Кондитерские фабрики    (Пищевая и с/х промышленность)";5390
37.6122;55.7248;Кондитерская фабрика Ударница;119049, Россия, г. Москва, ул. Шаболовка, 13;"Кондитерские фабрики    (Пищевая и с/х промышленность)";5305
37.7972;55.7105;Кондитерско-булочный комбинат Черемушки;Россия, 109377, г. Москва, ул. Академика Скрябина, д. 9, корп. 2;"Хлебокомбинаты    (Пищевая и с/х промышленность)";5236
37.2143;55.9822;Ангстрем;124460, Россия, г. Москва, Зеленоград, пл. Шокина, 2, стр. 3;"Машиностроение и металлообработка    (Заводы радиоаппаратуры и радиодеталей)";7655
37.6424;55.7514;Лианозовский молочный комбинат (ЛМК);109028, Россия, г. Москва, ул. Солянка, 13, стр. 2;"Молочные заводы    (Пищевая и с/х промышленность)";5553
